observ,profile1,profile2,profile3,profile4,profile5,profile6,profile7,profile8,profile9,profile10,profile11,profile12,profile13,profile14,profile15,profile16,profile17,profile18,profile19,profile20,profile21,profile22,profile23,profile24,profile25
273,-3700,-4800,-5150,-3450,-4350,-3900,-3800,-6100,-2000,-1750,-3700,-7200,-4950,-4450,-3200,-3750,-5550,-3200,-6650,-6150,-1650,-6150,-3600,-4100,-5450
274,-3700,-4800,-5150,-3450,-4300,-3950,-3800,-6850,-2000,-1750,-3700,-7350,-4950,-4500,-3200,-3750,-5500,-3250,-6650,-6900,-1650,-6900,-3600,-4050,-5050
275,-3700,-4850,-5150,-3450,-4300,-3950,-3800,-6850,-2450,-1800,-3700,-7350,-5000,-4500,-3250,-3750,-5500,-3250,-6600,-6900,-1700,-6900,-3550,-4050,-5050
276,-3700,-4850,-5200,-3450,-4250,-3300,-3800,-6900,-2450,-1800,-3850,-7300,-5000,-4500,-3250,-3650,-5850,-3250,-6600,-6200,-1700,-6200,-3550,-4000,-5050
277,-3700,-4850,-5200,-3500,-4250,-3300,-3800,-6900,-2400,-1800,-3850,-7300,-5000,-4500,-3250,-3650,-3650,-3250,-6550,-6200,-1750,-6200,-3500,-4000,-5050
278,-3750,-4900,-5200,-3500,-4200,-3300,-3800,-5600,-2400,-1800,-3850,-7250,-4650,-4500,-3250,-3700,-3650,-2800,-6550,-6250,-1750,-6250,-3500,-3800,-5100
279,-3750,-4900,-5250,-3500,-4200,-3300,-3800,-5600,-2350,-2200,-3850,-7250,-4650,-4300,-4600,-3700,-3650,-2800,-6150,-6250,-1800,-6250,-3450,-3800,-5100
280,-3750,-4900,-5250,-3500,-4150,-3350,-3800,-5600,-2350,-2200,-3850,-7050,-4650,-4300,-4600,-3850,-3650,-2850,-6150,-6850,-1800,-6850,-3450,-3850,-5100
281,-3750,-4900,-5250,-3500,-4150,-3350,-3750,-5600,-2300,-2250,-3850,-7050,-4550,-4250,-4950,-3850,-3700,-2850,-6900,-6850,-3300,-6850,-3400,-3850,-5100
282,-3750,-4900,-5300,-3500,-3700,-3350,-3750,-5650,-2300,-2250,-3900,-7100,-4550,-4250,-4950,-3850,-3700,-2900,-6900,-6050,-3300,-6050,-3400,-3750,-5150
283,-3750,-4950,-5300,-3500,-3700,-3350,-3750,-5650,-2250,-2300,-3900,-7100,-4550,-4000,-4900,-3850,-3700,-2900,-6200,-6050,-3550,-6050,-4350,-3750,-5150
284,-3800,-4950,-5300,-3500,-3650,-3400,-3750,-5650,-2250,-2300,-3900,-7150,-4600,-4000,-4900,-3900,-3700,-2950,-6200,-6800,-3550,-6800,-4350,-4400,-5150
285,-3800,-4950,-5350,-3550,-3650,-3400,-3750,-5650,-2500,-2150,-3900,-7150,-4600,-4050,-4850,-3900,-5400,-2950,-6250,-6800,-3500,-6800,-4300,-4400,-5150
286,-3800,-4950,-5350,-3550,-3600,-3400,-3750,-5700,-2500,-2150,-4000,-4550,-4600,-4050,-4850,-3900,-5450,-2450,-6250,-2100,-3500,-4450,-4300,-4350,-5200
287,-3800,-4950,-5350,-3550,-3600,-3400,-3750,-5700,-2050,-2850,-4000,-4550,-5150,-4100,-4800,-3900,-5050,-2450,-6850,-2100,-3450,-4450,-4300,-4350,-5200
288,-3800,-4950,-4700,-3550,-6000,-3450,-3750,-5700,-2050,-2850,-3950,-4500,-5150,-4100,-4800,-5400,-5100,-2500,-6850,-2050,-3450,-4400,-4300,-4300,-5200
289,-3800,-4950,-4700,-3600,-6000,-3450,-3750,-5700,-2000,-2800,-3950,-4500,-5200,-4150,-4750,-5450,-5150,-2500,-6050,-2050,-2300,-4400,-4250,-4300,-5200
290,-3850,-5000,-4700,-3600,-6050,-3450,-3750,-5750,-2000,-2800,-4250,-4450,-5200,-4150,-4750,-5050,-5200,-2550,-6050,-2200,-2300,-4350,-4250,-4250,-5200
291,-3850,-5000,-4750,-2950,-6050,-3450,-3650,-5750,-2100,-1450,-4250,-4450,-5000,-4200,-4700,-5100,-5250,-2550,-6800,-2200,-2300,-4350,-4250,-4250,-5200
292,-3850,-5000,-4750,-2950,-5900,-3450,-3650,-5750,-2100,-1450,-4150,-4850,-5000,-4200,-4700,-5150,-5300,-2600,-6800,-2150,-2300,-4300,-4250,-4000,-5250
